UserId,Date,Time,Operator,Transaction_type,Direction,Amount,Currency,New_balance,Anonymized_Content
USER_1,2023-10-22,00:38:30,MobileMoney,paiement,OUT,200.0,XAF,594.0,"Votre paiement de 200 XAF a MTNC BUNDLES_FORFAITS a ete effectue le 2023-10-22 00:36:26. Votre nouveau solde: 594 XAF. Frais: 0 XAF. Message: -. Transaction Id: [PHONE_0248]. Avec MoMo, tentez de recevoir jusqu'a 25000F en effectuant un paiement d'au moins 5000F dans un point marchand via *126# ou MoMo App. Plus d'info au 8787."
USER_1,2023-10-22,01:26:42,MobileMoney,paiement,OUT,200.0,XAF,394.0,"Votre paiement de 200 XAF a MTNC BUNDLES_FORFAITS a ete effectue le 2023-10-22 01:26:38. Votre nouveau solde: 394 XAF. Frais: 0 XAF. Message: -. Transaction Id: [PHONE_4933]. Avec MoMo, tentez de recevoir jusqu'a 25000F en effectuant un paiement d'au moins 5000F dans un point marchand via *126# ou MoMo App. Plus d'info au 8787."
USER_1,2023-11-21,17:02:53,MobileMoney,transfert,IN,100.0,XAF,494.0,An adjustment has been made and 100 XAF has been added to your mobile money account 93142019 at 2023-11-21 17:02:49. Message: MOMO GIFT CAMPAIGN. Your new balance: 494 XAF. Financial Transaction Id: [PHONE_0512].
USER_1,2023-11-29,05:08:33,MobileMoney,transfert,IN,13500.0,XAF,13994.0,Vous avez recu 13500 XAF de [CONTACT_A8DC] ([PHONE_1135]) sur votre compte mobile money à 2023-11-29 05:08:30. Message de l'expéditeur: coti+repas. Votre nouveau solde: 13994 XAF. FRAIS: FCFA 0. Financial Transaction Id: [PHONE_0597].
USER_1,2023-12-20,14:05:30,MobileMoney,transfert,IN,35000.0,XAF,35734.0,Vous avez recu 35000 XAF de [CONTACT_A14D] ([PHONE_3120]) sur votre compte mobile money à 2023-12-20 14:05:30. Message de l'expéditeur: transfert . Votre nouveau solde: 35734 XAF. FRAIS: FCFA 0. Financial Transaction Id: [PHONE_9188].
USER_1,2023-12-20,16:28:52,MobileMoney,retrait,OUT,35000.0,FCFA,34.0,"Vous avez effectue avec succes le retrait de 35000 FCFA de votre compte mobi[CONTACT_D918] money, chez  [CONTACT_D918] 2023-12-20 16:28:51. Votre nouveau solde est de:34 FCFA. Transaction Id: [PHONE_7138]. Avec MoMo, vous pouvez recevoir jusqu'a 25000F simplement en payant vos frais de scolarite via *126*007#. Pour plus d'info, appel au 8787 ou WhatsApp [PHONE_8786]."
USER_1,2023-12-23,17:08:27,MobileMoney,transfert,IN,30500.0,XAF,30534.0,Vous avez recu 30500 XAF de [CONTACT_4460] ([PHONE_7372]) sur votre compte mobile money à 2023-12-23 17:08:26. Message de l'expéditeur: achats. Votre nouveau solde: 30534 XAF. FRAIS: FCFA 0. Financial Transaction Id: [PHONE_0300].
USER_1,2023-12-30,15:12:31,MobileMoney,transfert,IN,14500.0,XAF,14536.0,Vous avez recu 14500 XAF de Mathieu francois eyaan abega ([PHONE_2321]) sur votre compte mobile money à 2023-12-30 15:12:30. Message de l'expéditeur: moi. Votre nouveau solde: 14536 XAF. FRAIS: FCFA 0. Financial Transaction Id: [PHONE_9828].
USER_1,2023-12-30,16:50:38,MobileMoney,transfert,OUT,10200.0,FCFA,4285.0,Transfert de 10200 FCFA effectue avec succes a [CONTACT_9F67] ([PHONE_3618]) le 2023-12-30 16:50:37. FRAIS 51 FCFA. transaction Id: [PHONE_6957]. Reference: 1. Nouveau solde est: 4285 FCFA.  DEBLOQUE le Continent en Toi... 1 MILLIARD a PARTAGER en Cash et en Bonus. Pour un retrait d'au moins 5 237F. Tape *237#. Plus d'info au 8787.
USER_1,2024-01-29,14:38:46,MobileMoney,transfert,IN,13300.0,XAF,17585.0,Vous avez recu 13300 XAF de [CONTACT_A07F] ([PHONE_2686]) sur votre compte mobile money à 2024-01-29 14:38:44. Message de l'expéditeur: dette. Votre nouveau solde: 17585 XAF. FRAIS: FCFA 0. Financial Transaction Id: [PHONE_0707].
